Quelle:;"Bayerisches Landesamt für Umwelt, www.gkd.bayern.de"
Datenbankabfrage:;"26.12.2025 00:01"
Zeitbezug:;MEZ
Messstellen-Name:;München
Messstellen-Nr.:;16005701
Gewässer:;Isar
Ostwert:;693161;Nordwert:;5335716;"ETRS89 / UTM Zone 32N"
Pegelnullpunktshöhe:;"500,33 m NHN (DHHN2016)"

Datum;"Wasserstand [cm]";Prüfstatus
"2025-12-02 16:00";115,00;Rohdaten
"2025-12-02 16:15";115,00;Rohdaten
"2025-12-02 16:30";114,00;Rohdaten
"2025-12-02 16:45";114,00;Rohdaten
"2025-12-02 17:00";114,00;Rohdaten
"2025-12-02 17:15";114,00;Rohdaten
"2025-12-02 17:30";114,00;Rohdaten
"2025-12-02 17:45";115,00;Rohdaten
"2025-12-02 18:00";115,00;Rohdaten
"2025-12-02 18:15";115,00;Rohdaten
"2025-12-02 18:30";115,00;Rohdaten
"2025-12-02 18:45";115,00;Rohdaten
"2025-12-02 19:00";116,00;Rohdaten
"2025-12-02 19:15";116,00;Rohdaten
"2025-12-02 19:30";116,00;Rohdaten
"2025-12-02 19:45";116,00;Rohdaten
"2025-12-02 20:00";115,00;Rohdaten
"2025-12-02 20:15";115,00;Rohdaten
"2025-12-02 20:30";114,00;Rohdaten
"2025-12-02 20:45";115,00;Rohdaten
"2025-12-02 21:00";115,00;Rohdaten
"2025-12-02 21:15";115,00;Rohdaten
"2025-12-02 21:30";115,00;Rohdaten
"2025-12-02 21:45";115,00;Rohdaten
"2025-12-02 22:00";115,00;Rohdaten
"2025-12-02 22:15";115,00;Rohdaten
"2025-12-02 22:30";115,00;Rohdaten
"2025-12-02 22:45";115,00;Rohdaten
"2025-12-02 23:00";115,00;Rohdaten
"2025-12-02 23:15";115,00;Rohdaten
"2025-12-02 23:30";115,00;Rohdaten
"2025-12-02 23:45";114,00;Rohdaten
"2025-12-03 00:00";113,00;Rohdaten
"2025-12-03 00:15";113,00;Rohdaten
"2025-12-03 00:30";113,00;Rohdaten
"2025-12-03 00:45";114,00;Rohdaten
"2025-12-03 01:00";114,00;Rohdaten
"2025-12-03 01:15";114,00;Rohdaten
"2025-12-03 01:30";113,00;Rohdaten
"2025-12-03 01:45";113,00;Rohdaten
"2025-12-03 02:00";113,00;Rohdaten
"2025-12-03 02:15";113,00;Rohdaten
"2025-12-03 02:30";113,00;Rohdaten
"2025-12-03 02:45";114,00;Rohdaten
"2025-12-03 03:00";115,00;Rohdaten
"2025-12-03 03:15";116,00;Rohdaten
"2025-12-03 03:30";116,00;Rohdaten
"2025-12-03 03:45";115,00;Rohdaten
"2025-12-03 04:00";115,00;Rohdaten
"2025-12-03 04:15";115,00;Rohdaten
"2025-12-03 04:30";116,00;Rohdaten
"2025-12-03 04:45";117,00;Rohdaten
"2025-12-03 05:00";117,00;Rohdaten
"2025-12-03 05:15";117,00;Rohdaten
"2025-12-03 05:30";116,00;Rohdaten
"2025-12-03 05:45";116,00;Rohdaten
"2025-12-03 06:00";116,00;Rohdaten
"2025-12-03 06:15";116,00;Rohdaten
"2025-12-03 06:30";116,00;Rohdaten
"2025-12-03 06:45";116,00;Rohdaten
"2025-12-03 07:00";116,00;Rohdaten
"2025-12-03 07:15";116,00;Rohdaten
"2025-12-03 07:30";116,00;Rohdaten
"2025-12-03 07:45";115,00;Rohdaten
"2025-12-03 08:00";114,00;Rohdaten
"2025-12-03 08:15";113,00;Rohdaten
"2025-12-03 08:30";114,00;Rohdaten
"2025-12-03 08:45";114,00;Rohdaten
"2025-12-03 09:00";114,00;Rohdaten
"2025-12-03 09:15";114,00;Rohdaten
"2025-12-03 09:30";114,00;Rohdaten
"2025-12-03 09:45";113,00;Rohdaten
"2025-12-03 10:00";113,00;Rohdaten
"2025-12-03 10:15";112,00;Rohdaten
"2025-12-03 10:30";112,00;Rohdaten
"2025-12-03 10:45";112,00;Rohdaten
"2025-12-03 11:00";112,00;Rohdaten
"2025-12-03 11:15";111,00;Rohdaten
"2025-12-03 11:30";111,00;Rohdaten
"2025-12-03 11:45";112,00;Rohdaten
"2025-12-03 12:00";112,00;Rohdaten
"2025-12-03 12:15";111,00;Rohdaten
"2025-12-03 12:30";111,00;Rohdaten
"2025-12-03 12:45";111,00;Rohdaten
"2025-12-03 13:00";111,00;Rohdaten
"2025-12-03 13:15";110,00;Rohdaten
"2025-12-03 13:30";109,00;Rohdaten
"2025-12-03 13:45";108,00;Rohdaten
"2025-12-03 14:00";109,00;Rohdaten
"2025-12-03 14:15";110,00;Rohdaten
"2025-12-03 14:30";111,00;Rohdaten
"2025-12-03 14:45";111,00;Rohdaten
"2025-12-03 15:00";110,00;Rohdaten
"2025-12-03 15:15";109,00;Rohdaten
"2025-12-03 15:30";109,00;Rohdaten
"2025-12-03 15:45";109,00;Rohdaten
"2025-12-03 16:00";109,00;Rohdaten
"2025-12-03 16:15";109,00;Rohdaten
"2025-12-03 16:30";110,00;Rohdaten
"2025-12-03 16:45";111,00;Rohdaten
"2025-12-03 17:00";111,00;Rohdaten
"2025-12-03 17:15";111,00;Rohdaten
"2025-12-03 17:30";111,00;Rohdaten
"2025-12-03 17:45";111,00;Rohdaten
"2025-12-03 18:00";110,00;Rohdaten
"2025-12-03 18:15";110,00;Rohdaten
"2025-12-03 18:30";111,00;Rohdaten
"2025-12-03 18:45";112,00;Rohdaten
"2025-12-03 19:00";112,00;Rohdaten
"2025-12-03 19:15";112,00;Rohdaten
"2025-12-03 19:30";112,00;Rohdaten
"2025-12-03 19:45";111,00;Rohdaten
"2025-12-03 20:00";111,00;Rohdaten
"2025-12-03 20:15";112,00;Rohdaten
"2025-12-03 20:30";113,00;Rohdaten
"2025-12-03 20:45";114,00;Rohdaten
"2025-12-03 21:00";114,00;Rohdaten
"2025-12-03 21:15";114,00;Rohdaten
"2025-12-03 21:30";114,00;Rohdaten
"2025-12-03 21:45";114,00;Rohdaten
"2025-12-03 22:00";113,00;Rohdaten
"2025-12-03 22:15";114,00;Rohdaten
"2025-12-03 22:30";115,00;Rohdaten
"2025-12-03 22:45";116,00;Rohdaten
"2025-12-03 23:00";117,00;Rohdaten
"2025-12-03 23:15";116,00;Rohdaten
"2025-12-03 23:30";116,00;Rohdaten
"2025-12-03 23:45";117,00;Rohdaten
"2025-12-04 00:00";116,00;Rohdaten
"2025-12-04 00:15";117,00;Rohdaten
"2025-12-04 00:30";117,00;Rohdaten
"2025-12-04 00:45";117,00;Rohdaten
"2025-12-04 01:00";117,00;Rohdaten
"2025-12-04 01:15";117,00;Rohdaten
"2025-12-04 01:30";118,00;Rohdaten
"2025-12-04 01:45";118,00;Rohdaten
"2025-12-04 02:00";118,00;Rohdaten
"2025-12-04 02:15";119,00;Rohdaten
"2025-12-04 02:30";118,00;Rohdaten
"2025-12-04 02:45";118,00;Rohdaten
"2025-12-04 03:00";117,00;Rohdaten
"2025-12-04 03:15";116,00;Rohdaten
"2025-12-04 03:30";117,00;Rohdaten
"2025-12-04 03:45";119,00;Rohdaten
"2025-12-04 04:00";119,00;Rohdaten
"2025-12-04 04:15";120,00;Rohdaten
"2025-12-04 04:30";120,00;Rohdaten
"2025-12-04 04:45";119,00;Rohdaten
"2025-12-04 05:00";119,00;Rohdaten
"2025-12-04 05:15";119,00;Rohdaten
"2025-12-04 05:30";120,00;Rohdaten
"2025-12-04 05:45";121,00;Rohdaten
"2025-12-04 06:00";121,00;Rohdaten
"2025-12-04 06:15";121,00;Rohdaten
"2025-12-04 06:30";121,00;Rohdaten
"2025-12-04 06:45";121,00;Rohdaten
"2025-12-04 07:00";121,00;Rohdaten
"2025-12-04 07:15";121,00;Rohdaten
"2025-12-04 07:30";121,00;Rohdaten
"2025-12-04 07:45";121,00;Rohdaten
"2025-12-04 08:00";121,00;Rohdaten
"2025-12-04 08:15";121,00;Rohdaten
"2025-12-04 08:30";121,00;Rohdaten
"2025-12-04 08:45";121,00;Rohdaten
"2025-12-04 09:00";120,00;Rohdaten
"2025-12-04 09:15";120,00;Rohdaten
"2025-12-04 09:30";120,00;Rohdaten
"2025-12-04 09:45";120,00;Rohdaten
"2025-12-04 10:00";120,00;Rohdaten
"2025-12-04 10:15";120,00;Rohdaten
"2025-12-04 10:30";119,00;Rohdaten
"2025-12-04 10:45";118,00;Rohdaten
"2025-12-04 11:00";117,00;Rohdaten
"2025-12-04 11:15";117,00;Rohdaten
"2025-12-04 11:30";117,00;Rohdaten
"2025-12-04 11:45";117,00;Rohdaten
"2025-12-04 12:00";116,00;Rohdaten
"2025-12-04 12:15";116,00;Rohdaten
"2025-12-04 12:30";116,00;Rohdaten
"2025-12-04 12:45";115,00;Rohdaten
"2025-12-04 13:00";115,00;Rohdaten
"2025-12-04 13:15";115,00;Rohdaten
"2025-12-04 13:30";114,00;Rohdaten
"2025-12-04 13:45";114,00;Rohdaten
"2025-12-04 14:00";114,00;Rohdaten
"2025-12-04 14:15";114,00;Rohdaten
"2025-12-04 14:30";114,00;Rohdaten
"2025-12-04 14:45";114,00;Rohdaten
"2025-12-04 15:00";113,00;Rohdaten
"2025-12-04 15:15";113,00;Rohdaten
"2025-12-04 15:30";113,00;Rohdaten
"2025-12-04 15:45";113,00;Rohdaten
"2025-12-04 16:00";113,00;Rohdaten
"2025-12-04 16:15";113,00;Rohdaten
"2025-12-04 16:30";113,00;Rohdaten
"2025-12-04 16:45";113,00;Rohdaten
"2025-12-04 17:00";116,00;Rohdaten
"2025-12-04 17:15";116,00;Rohdaten
"2025-12-04 17:30";116,00;Rohdaten
"2025-12-04 17:45";117,00;Rohdaten
"2025-12-04 18:00";117,00;Rohdaten
"2025-12-04 18:15";116,00;Rohdaten
"2025-12-04 18:30";117,00;Rohdaten
"2025-12-04 18:45";116,00;Rohdaten
"2025-12-04 19:00";115,00;Rohdaten
"2025-12-04 19:15";114,00;Rohdaten
"2025-12-04 19:30";114,00;Rohdaten
"2025-12-04 19:45";115,00;Rohdaten
"2025-12-04 20:00";116,00;Rohdaten
"2025-12-04 20:15";116,00;Rohdaten
"2025-12-04 20:30";116,00;Rohdaten
"2025-12-04 20:45";117,00;Rohdaten
"2025-12-04 21:00";116,00;Rohdaten
"2025-12-04 21:15";116,00;Rohdaten
"2025-12-04 21:30";117,00;Rohdaten
"2025-12-04 21:45";117,00;Rohdaten
"2025-12-04 22:00";117,00;Rohdaten
"2025-12-04 22:15";117,00;Rohdaten
"2025-12-04 22:30";117,00;Rohdaten
"2025-12-04 22:45";117,00;Rohdaten
"2025-12-04 23:00";117,00;Rohdaten
"2025-12-04 23:15";117,00;Rohdaten
"2025-12-04 23:30";117,00;Rohdaten
"2025-12-04 23:45";118,00;Rohdaten
"2025-12-05 00:00";117,00;Rohdaten
"2025-12-05 00:15";118,00;Rohdaten
"2025-12-05 00:30";119,00;Rohdaten
"2025-12-05 00:45";119,00;Rohdaten
"2025-12-05 01:00";119,00;Rohdaten
"2025-12-05 01:15";119,00;Rohdaten
"2025-12-05 01:30";119,00;Rohdaten
"2025-12-05 01:45";120,00;Rohdaten
"2025-12-05 02:00";120,00;Rohdaten
"2025-12-05 02:15";121,00;Rohdaten
"2025-12-05 02:30";121,00;Rohdaten
"2025-12-05 02:45";121,00;Rohdaten
"2025-12-05 03:00";120,00;Rohdaten
"2025-12-05 03:15";120,00;Rohdaten
"2025-12-05 03:30";121,00;Rohdaten
"2025-12-05 03:45";120,00;Rohdaten
"2025-12-05 04:00";120,00;Rohdaten
"2025-12-05 04:15";120,00;Rohdaten
"2025-12-05 04:30";120,00;Rohdaten
"2025-12-05 04:45";120,00;Rohdaten
"2025-12-05 05:00";122,00;Rohdaten
"2025-12-05 05:15";122,00;Rohdaten
"2025-12-05 05:30";122,00;Rohdaten
"2025-12-05 05:45";122,00;Rohdaten
"2025-12-05 06:00";121,00;Rohdaten
"2025-12-05 06:15";121,00;Rohdaten
"2025-12-05 06:30";121,00;Rohdaten
"2025-12-05 06:45";121,00;Rohdaten
"2025-12-05 07:00";121,00;Rohdaten
"2025-12-05 07:15";122,00;Rohdaten
"2025-12-05 07:30";121,00;Rohdaten
"2025-12-05 07:45";122,00;Rohdaten
"2025-12-05 08:00";121,00;Rohdaten
"2025-12-05 08:15";120,00;Rohdaten
"2025-12-05 08:30";120,00;Rohdaten
"2025-12-05 08:45";119,00;Rohdaten
"2025-12-05 09:00";118,00;Rohdaten
"2025-12-05 09:15";118,00;Rohdaten
"2025-12-05 09:30";119,00;Rohdaten
"2025-12-05 09:45";119,00;Rohdaten
"2025-12-05 10:00";120,00;Rohdaten
"2025-12-05 10:15";118,00;Rohdaten
"2025-12-05 10:30";116,00;Rohdaten
"2025-12-05 10:45";116,00;Rohdaten
"2025-12-05 11:00";115,00;Rohdaten
"2025-12-05 11:15";115,00;Rohdaten
"2025-12-05 11:30";114,00;Rohdaten
"2025-12-05 11:45";113,00;Rohdaten
"2025-12-05 12:00";113,00;Rohdaten
"2025-12-05 12:15";113,00;Rohdaten
"2025-12-05 12:30";113,00;Rohdaten
"2025-12-05 12:45";111,00;Rohdaten
"2025-12-05 13:00";111,00;Rohdaten
"2025-12-05 13:15";111,00;Rohdaten
"2025-12-05 13:30";111,00;Rohdaten
"2025-12-05 13:45";111,00;Rohdaten
"2025-12-05 14:00";111,00;Rohdaten
"2025-12-05 14:15";111,00;Rohdaten
"2025-12-05 14:30";111,00;Rohdaten
"2025-12-05 14:45";110,00;Rohdaten
"2025-12-05 15:00";109,00;Rohdaten
"2025-12-05 15:15";109,00;Rohdaten
"2025-12-05 15:30";108,00;Rohdaten
"2025-12-05 15:45";108,00;Rohdaten
"2025-12-05 16:00";105,00;Rohdaten
"2025-12-05 16:15";106,00;Rohdaten
"2025-12-05 16:30";107,00;Rohdaten
"2025-12-05 16:45";108,00;Rohdaten
"2025-12-05 17:00";108,00;Rohdaten
"2025-12-05 17:15";108,00;Rohdaten
"2025-12-05 17:30";108,00;Rohdaten
"2025-12-05 17:45";112,00;Rohdaten
"2025-12-05 18:00";114,00;Rohdaten
"2025-12-05 18:15";113,00;Rohdaten
"2025-12-05 18:30";113,00;Rohdaten
"2025-12-05 18:45";112,00;Rohdaten
"2025-12-05 19:00";113,00;Rohdaten
"2025-12-05 19:15";113,00;Rohdaten
"2025-12-05 19:30";114,00;Rohdaten
"2025-12-05 19:45";114,00;Rohdaten
"2025-12-05 20:00";114,00;Rohdaten
"2025-12-05 20:15";114,00;Rohdaten
"2025-12-05 20:30";115,00;Rohdaten
"2025-12-05 20:45";115,00;Rohdaten
"2025-12-05 21:00";115,00;Rohdaten
"2025-12-05 21:15";115,00;Rohdaten
"2025-12-05 21:30";115,00;Rohdaten
"2025-12-05 21:45";115,00;Rohdaten
"2025-12-05 22:00";115,00;Rohdaten
"2025-12-05 22:15";115,00;Rohdaten
"2025-12-05 22:30";115,00;Rohdaten
"2025-12-05 22:45";115,00;Rohdaten
"2025-12-05 23:00";115,00;Rohdaten
"2025-12-05 23:15";115,00;Rohdaten
"2025-12-05 23:30";117,00;Rohdaten
"2025-12-05 23:45";118,00;Rohdaten
"2025-12-06 00:00";117,00;Rohdaten
"2025-12-06 00:15";116,00;Rohdaten
"2025-12-06 00:30";116,00;Rohdaten
"2025-12-06 00:45";116,00;Rohdaten
"2025-12-06 01:00";116,00;Rohdaten
"2025-12-06 01:15";115,00;Rohdaten
"2025-12-06 01:30";115,00;Rohdaten
"2025-12-06 01:45";115,00;Rohdaten
"2025-12-06 02:00";115,00;Rohdaten
"2025-12-06 02:15";116,00;Rohdaten
"2025-12-06 02:30";116,00;Rohdaten
"2025-12-06 02:45";116,00;Rohdaten
"2025-12-06 03:00";116,00;Rohdaten
"2025-12-06 03:15";116,00;Rohdaten
"2025-12-06 03:30";117,00;Rohdaten
"2025-12-06 03:45";117,00;Rohdaten
"2025-12-06 04:00";117,00;Rohdaten
"2025-12-06 04:15";118,00;Rohdaten
"2025-12-06 04:30";118,00;Rohdaten
"2025-12-06 04:45";118,00;Rohdaten
"2025-12-06 05:00";117,00;Rohdaten
"2025-12-06 05:15";117,00;Rohdaten
"2025-12-06 05:30";116,00;Rohdaten
"2025-12-06 05:45";116,00;Rohdaten
"2025-12-06 06:00";116,00;Rohdaten
"2025-12-06 06:15";118,00;Rohdaten
"2025-12-06 06:30";119,00;Rohdaten
"2025-12-06 06:45";119,00;Rohdaten
"2025-12-06 07:00";118,00;Rohdaten
"2025-12-06 07:15";117,00;Rohdaten
"2025-12-06 07:30";117,00;Rohdaten
"2025-12-06 07:45";117,00;Rohdaten
"2025-12-06 08:00";119,00;Rohdaten
"2025-12-06 08:15";119,00;Rohdaten
"2025-12-06 08:30";119,00;Rohdaten
"2025-12-06 08:45";118,00;Rohdaten
"2025-12-06 09:00";117,00;Rohdaten
"2025-12-06 09:15";115,00;Rohdaten
"2025-12-06 09:30";115,00;Rohdaten
"2025-12-06 09:45";116,00;Rohdaten
"2025-12-06 10:00";116,00;Rohdaten
"2025-12-06 10:15";116,00;Rohdaten
"2025-12-06 10:30";115,00;Rohdaten
"2025-12-06 10:45";115,00;Rohdaten
"2025-12-06 11:00";114,00;Rohdaten
"2025-12-06 11:15";113,00;Rohdaten
"2025-12-06 11:30";113,00;Rohdaten
"2025-12-06 11:45";113,00;Rohdaten
"2025-12-06 12:00";113,00;Rohdaten
"2025-12-06 12:15";113,00;Rohdaten
"2025-12-06 12:30";113,00;Rohdaten
"2025-12-06 12:45";113,00;Rohdaten
"2025-12-06 13:00";111,00;Rohdaten
"2025-12-06 13:15";109,00;Rohdaten
"2025-12-06 13:30";112,00;Rohdaten
"2025-12-06 13:45";112,00;Rohdaten
"2025-12-06 14:00";106,00;Rohdaten
"2025-12-06 14:15";105,00;Rohdaten
"2025-12-06 14:30";106,00;Rohdaten
"2025-12-06 14:45";107,00;Rohdaten
"2025-12-06 15:00";107,00;Rohdaten
"2025-12-06 15:15";106,00;Rohdaten
"2025-12-06 15:30";106,00;Rohdaten
"2025-12-06 15:45";104,00;Rohdaten
"2025-12-06 16:00";100,00;Rohdaten
"2025-12-06 16:15";103,00;Rohdaten
"2025-12-06 16:30";111,00;Rohdaten
"2025-12-06 16:45";113,00;Rohdaten
"2025-12-06 17:00";110,00;Rohdaten
"2025-12-06 17:15";109,00;Rohdaten
"2025-12-06 17:30";110,00;Rohdaten
"2025-12-06 17:45";110,00;Rohdaten
"2025-12-06 18:00";108,00;Rohdaten
"2025-12-06 18:15";105,00;Rohdaten
"2025-12-06 18:30";105,00;Rohdaten
"2025-12-06 18:45";105,00;Rohdaten
"2025-12-06 19:00";105,00;Rohdaten
"2025-12-06 19:15";105,00;Rohdaten
"2025-12-06 19:30";105,00;Rohdaten
"2025-12-06 19:45";105,00;Rohdaten
"2025-12-06 20:00";104,00;Rohdaten
"2025-12-06 20:15";104,00;Rohdaten
"2025-12-06 20:30";104,00;Rohdaten
"2025-12-06 20:45";105,00;Rohdaten
"2025-12-06 21:00";105,00;Rohdaten
"2025-12-06 21:15";104,00;Rohdaten
"2025-12-06 21:30";104,00;Rohdaten
"2025-12-06 21:45";103,00;Rohdaten
"2025-12-06 22:00";103,00;Rohdaten
"2025-12-06 22:15";103,00;Rohdaten
"2025-12-06 22:30";103,00;Rohdaten
"2025-12-06 22:45";103,00;Rohdaten
"2025-12-06 23:00";103,00;Rohdaten
"2025-12-06 23:15";103,00;Rohdaten
"2025-12-06 23:30";103,00;Rohdaten
"2025-12-06 23:45";102,00;Rohdaten
"2025-12-07 00:00";102,00;Rohdaten
"2025-12-07 00:15";102,00;Rohdaten
"2025-12-07 00:30";102,00;Rohdaten
"2025-12-07 00:45";102,00;Rohdaten
"2025-12-07 01:00";102,00;Rohdaten
"2025-12-07 01:15";102,00;Rohdaten
"2025-12-07 01:30";102,00;Rohdaten
"2025-12-07 01:45";102,00;Rohdaten
"2025-12-07 02:00";101,00;Rohdaten
"2025-12-07 02:15";101,00;Rohdaten
"2025-12-07 02:30";100,00;Rohdaten
"2025-12-07 02:45";101,00;Rohdaten
"2025-12-07 03:00";100,00;Rohdaten
"2025-12-07 03:15";100,00;Rohdaten
