Quelle:;"Bayerisches Landesamt für Umwelt, www.gkd.bayern.de"
Datenbankabfrage:;"26.12.2025 00:01"
Zeitbezug:;MEZ
Messstellen-Name:;München
Messstellen-Nr.:;16005701
Gewässer:;Isar
Ostwert:;693161;Nordwert:;5335716;"ETRS89 / UTM Zone 32N"
Pegelnullpunktshöhe:;"500,33 m NHN (DHHN2016)"

Datum;"Wasserstand [cm]";Prüfstatus
"2025-12-01 00:00";102,00;Rohdaten
"2025-12-01 00:15";102,00;Rohdaten
"2025-12-01 00:30";102,00;Rohdaten
"2025-12-01 00:45";102,00;Rohdaten
"2025-12-01 01:00";102,00;Rohdaten
"2025-12-01 01:15";102,00;Rohdaten
"2025-12-01 01:30";102,00;Rohdaten
"2025-12-01 01:45";102,00;Rohdaten
"2025-12-01 02:00";102,00;Rohdaten
"2025-12-01 02:15";102,00;Rohdaten
"2025-12-01 02:30";102,00;Rohdaten
"2025-12-01 02:45";102,00;Rohdaten
"2025-12-01 03:00";101,00;Rohdaten
"2025-12-01 03:15";101,00;Rohdaten
"2025-12-01 03:30";101,00;Rohdaten
"2025-12-01 03:45";101,00;Rohdaten
"2025-12-01 04:00";101,00;Rohdaten
"2025-12-01 04:15";101,00;Rohdaten
"2025-12-01 04:30";102,00;Rohdaten
"2025-12-01 04:45";102,00;Rohdaten
"2025-12-01 05:00";102,00;Rohdaten
"2025-12-01 05:15";102,00;Rohdaten
"2025-12-01 05:30";102,00;Rohdaten
"2025-12-01 05:45";102,00;Rohdaten
"2025-12-01 06:00";101,00;Rohdaten
"2025-12-01 06:15";102,00;Rohdaten
"2025-12-01 06:30";102,00;Rohdaten
"2025-12-01 06:45";101,00;Rohdaten
"2025-12-01 07:00";101,00;Rohdaten
"2025-12-01 07:15";101,00;Rohdaten
"2025-12-01 07:30";101,00;Rohdaten
"2025-12-01 07:45";101,00;Rohdaten
"2025-12-01 08:00";102,00;Rohdaten
"2025-12-01 08:15";103,00;Rohdaten
"2025-12-01 08:30";103,00;Rohdaten
"2025-12-01 08:45";103,00;Rohdaten
"2025-12-01 09:00";102,00;Rohdaten
"2025-12-01 09:15";102,00;Rohdaten
"2025-12-01 09:30";102,00;Rohdaten
"2025-12-01 09:45";102,00;Rohdaten
"2025-12-01 10:00";103,00;Rohdaten
"2025-12-01 10:15";104,00;Rohdaten
"2025-12-01 10:30";104,00;Rohdaten
"2025-12-01 10:45";104,00;Rohdaten
"2025-12-01 11:00";104,00;Rohdaten
"2025-12-01 11:15";104,00;Rohdaten
"2025-12-01 11:30";104,00;Rohdaten
"2025-12-01 11:45";105,00;Rohdaten
"2025-12-01 12:00";107,00;Rohdaten
"2025-12-01 12:15";107,00;Rohdaten
"2025-12-01 12:30";105,00;Rohdaten
"2025-12-01 12:45";104,00;Rohdaten
"2025-12-01 13:00";105,00;Rohdaten
"2025-12-01 13:15";105,00;Rohdaten
"2025-12-01 13:30";105,00;Rohdaten
"2025-12-01 13:45";105,00;Rohdaten
"2025-12-01 14:00";105,00;Rohdaten
"2025-12-01 14:15";106,00;Rohdaten
"2025-12-01 14:30";107,00;Rohdaten
"2025-12-01 14:45";107,00;Rohdaten
"2025-12-01 15:00";107,00;Rohdaten
"2025-12-01 15:15";108,00;Rohdaten
"2025-12-01 15:30";111,00;Rohdaten
"2025-12-01 15:45";112,00;Rohdaten
"2025-12-01 16:00";111,00;Rohdaten
"2025-12-01 16:15";111,00;Rohdaten
"2025-12-01 16:30";111,00;Rohdaten
"2025-12-01 16:45";111,00;Rohdaten
"2025-12-01 17:00";111,00;Rohdaten
"2025-12-01 17:15";111,00;Rohdaten
"2025-12-01 17:30";111,00;Rohdaten
"2025-12-01 17:45";111,00;Rohdaten
"2025-12-01 18:00";111,00;Rohdaten
"2025-12-01 18:15";112,00;Rohdaten
"2025-12-01 18:30";112,00;Rohdaten
"2025-12-01 18:45";113,00;Rohdaten
"2025-12-01 19:00";113,00;Rohdaten
"2025-12-01 19:15";115,00;Rohdaten
"2025-12-01 19:30";115,00;Rohdaten
"2025-12-01 19:45";115,00;Rohdaten
"2025-12-01 20:00";115,00;Rohdaten
"2025-12-01 20:15";115,00;Rohdaten
"2025-12-01 20:30";115,00;Rohdaten
"2025-12-01 20:45";116,00;Rohdaten
"2025-12-01 21:00";115,00;Rohdaten
"2025-12-01 21:15";114,00;Rohdaten
"2025-12-01 21:30";114,00;Rohdaten
"2025-12-01 21:45";114,00;Rohdaten
"2025-12-01 22:00";115,00;Rohdaten
"2025-12-01 22:15";115,00;Rohdaten
"2025-12-01 22:30";114,00;Rohdaten
"2025-12-01 22:45";113,00;Rohdaten
"2025-12-01 23:00";113,00;Rohdaten
"2025-12-01 23:15";114,00;Rohdaten
"2025-12-01 23:30";114,00;Rohdaten
"2025-12-01 23:45";116,00;Rohdaten
"2025-12-02 00:00";116,00;Rohdaten
"2025-12-02 00:15";116,00;Rohdaten
"2025-12-02 00:30";116,00;Rohdaten
"2025-12-02 00:45";115,00;Rohdaten
"2025-12-02 01:00";115,00;Rohdaten
"2025-12-02 01:15";115,00;Rohdaten
"2025-12-02 01:30";115,00;Rohdaten
"2025-12-02 01:45";115,00;Rohdaten
"2025-12-02 02:00";115,00;Rohdaten
"2025-12-02 02:15";116,00;Rohdaten
"2025-12-02 02:30";117,00;Rohdaten
"2025-12-02 02:45";118,00;Rohdaten
"2025-12-02 03:00";118,00;Rohdaten
"2025-12-02 03:15";118,00;Rohdaten
"2025-12-02 03:30";118,00;Rohdaten
"2025-12-02 03:45";118,00;Rohdaten
"2025-12-02 04:00";118,00;Rohdaten
"2025-12-02 04:15";118,00;Rohdaten
"2025-12-02 04:30";118,00;Rohdaten
"2025-12-02 04:45";118,00;Rohdaten
"2025-12-02 05:00";118,00;Rohdaten
"2025-12-02 05:15";118,00;Rohdaten
"2025-12-02 05:30";118,00;Rohdaten
"2025-12-02 05:45";118,00;Rohdaten
"2025-12-02 06:00";118,00;Rohdaten
"2025-12-02 06:15";118,00;Rohdaten
"2025-12-02 06:30";118,00;Rohdaten
"2025-12-02 06:45";118,00;Rohdaten
"2025-12-02 07:00";118,00;Rohdaten
"2025-12-02 07:15";118,00;Rohdaten
"2025-12-02 07:30";118,00;Rohdaten
"2025-12-02 07:45";118,00;Rohdaten
"2025-12-02 08:00";118,00;Rohdaten
"2025-12-02 08:15";118,00;Rohdaten
"2025-12-02 08:30";118,00;Rohdaten
"2025-12-02 08:45";118,00;Rohdaten
"2025-12-02 09:00";118,00;Rohdaten
"2025-12-02 09:15";116,00;Rohdaten
"2025-12-02 09:30";115,00;Rohdaten
"2025-12-02 09:45";115,00;Rohdaten
"2025-12-02 10:00";116,00;Rohdaten
"2025-12-02 10:15";116,00;Rohdaten
"2025-12-02 10:30";115,00;Rohdaten
"2025-12-02 10:45";115,00;Rohdaten
"2025-12-02 11:00";115,00;Rohdaten
"2025-12-02 11:15";115,00;Rohdaten
"2025-12-02 11:30";115,00;Rohdaten
"2025-12-02 11:45";115,00;Rohdaten
"2025-12-02 12:00";115,00;Rohdaten
"2025-12-02 12:15";114,00;Rohdaten
"2025-12-02 12:30";114,00;Rohdaten
"2025-12-02 12:45";114,00;Rohdaten
"2025-12-02 13:00";114,00;Rohdaten
"2025-12-02 13:15";114,00;Rohdaten
"2025-12-02 13:30";114,00;Rohdaten
"2025-12-02 13:45";114,00;Rohdaten
"2025-12-02 14:00";114,00;Rohdaten
"2025-12-02 14:15";113,00;Rohdaten
"2025-12-02 14:30";113,00;Rohdaten
"2025-12-02 14:45";113,00;Rohdaten
"2025-12-02 15:00";113,00;Rohdaten
"2025-12-02 15:15";113,00;Rohdaten
"2025-12-02 15:30";113,00;Rohdaten
"2025-12-02 15:45";114,00;Rohdaten
